,0,200,400,600,800,1000
100,0.7198307066881996,0.7873086019092337,0.5888351372985765,0.638142552975768,0.6481350394772666,0.6894179894179894
105,0.0002784429470401515,0.014724921887137704,0.06769220060557547,0.03021393085268174,0.04617478900081677,0.010582010582010581
110,0.004733530099682575,0.013240345940720537,0.023979396512720564,0.0008787049241272094,0.013939558943642799,0.0291005291005291
115,0.0,0.012895095720623521,0.015383009083632061,0.014464834904863293,0.0075142934930574464,0.015343915343915344
120,0.023222141783148634,0.00048335030813582145,0.03723941113005951,0.03004494913650343,0.03501225156547781,0.01455026455026455
125,0.0016149690928328785,0.0004488252861261199,0.0010092924511885288,0.025144479367332453,0.024067519738633268,0.009523809523809525
130,0.01564849362365651,0.030312969324517946,0.05384053179271221,0.03781810808070567,0.005390688810236864,0.03439153439153439
135,0.002283232165729242,0.005696628631600753,0.05352730310096405,0.004900469769170975,0.020745984209093384,0.019312169312169312
140,0.0006682630728963635,0.009649743651711578,0.01614867921901646,0.007502788198316942,0.029403757146746527,0.00026455026455026457
145,0.00011137717881606059,0.005230540834469782,0.010058121323913271,0.05725100544121126,0.008548870133405936,0.018783068783068783
150,0.008854485715876817,0.012601633033541058,0.004559217624334389,0.009192605360100038,0.0025047644976858153,0.00026455026455026457
155,0.007295205212451968,0.008648518013430233,0.03160129467859256,0.017743080198722498,0.008548870133405936,0.027248677248677248
160,0.029236509439215904,0.002364964007664555,0.002645042285873386,0.01953428639021258,0.006534168254832562,0.016931216931216932
165,0.0010580831987525756,0.006922266912945157,0.024571050708244876,0.016087059380175066,0.029403757146746527,0.0010582010582010583
170,0.0,0.004039427575135079,0.008178749173424286,0.0040217648450437665,0.0007623196297304656,0.0
175,0.06665924152141227,0.02228590170726234,0.010406153203633453,0.03551995674068066,0.03659134222706235,0.0007936507936507937
180,0.0033970039538898478,0.01810837404408845,0.007935126857620158,0.010781033492176146,0.010509120609855704,0.004232804232804233
185,0.030016149690928327,0.008941980700512697,0.003967563428810079,0.005779174693298185,0.025319901987476176,0.03333333333333333
190,0.0415436876983906,0.0180565865110739,0.013329620993282984,0.0049342661124066375,0.004628369180506398,0.0013227513227513227
195,0.000556885894080303,0.0008803880612473891,0.003097483729509623,0.007942140660380547,0.005662945820854887,0.038624338624338624
