,clu_system,shadowing_avg,dist
0,8,-2.1050931884379125,624.536712807549
1,8,0.17035167956118066,680.7918268539041
2,12,-5.225778092020182,724.2634460532604
3,12,-7.411083861533147,824.1547185921613
4,7,-4.541023207230748,918.9348477691245
5,12,-7.411083861533147,824.1547185921613
6,8,-3.2580506759593084,740.3147259255711
7,7,0.08008055067524109,821.500125407438
8,8,5.899757853164383,896.4250876800663
9,7,0.08008055067524109,821.500125407438
10,8,-0.05643055439310249,463.21182176436673
11,12,0.6747146413077987,365.626812778064
12,12,-2.02352485980968,219.26774883600552
13,8,5.899757853164383,896.4250876800663
14,7,0.08008055067524109,821.500125407438
15,8,-2.3524634736473184,876.7220835463171
16,12,1.3166066398411054,868.9775451132675
17,8,-1.5245819285124966,771.1779604965134
18,7,-3.6665805239371116,779.9203380402963
19,8,-4.6319117081998415,657.8920236296432
20,8,-2.4233571702819128,575.7729490770535
21,7,-1.8960005370507589,474.7386481470136
22,8,0.5564499551311959,445.0197124223645
23,7,-1.7917935806576868,841.4075541747171
24,8,-7.4621309681049155,775.1117661343752
25,12,-4.225364726333002,679.3777134668969
26,7,3.4378671916120482,369.5788299011474
27,7,5.334483260486183,643.1250576849203
28,7,-2.9632964857549724,745.1980393008741
29,7,-3.4630381179911716,837.998804188989
30,8,4.507299452240273,915.4991424961036
31,8,5.764920082579935,1013.1508756788794
32,8,-0.308142887799614,695.9804257924771
33,8,-0.4320221649628237,664.4376578062621
34,8,-0.308142887799614,695.9804257924771
35,8,-0.4320221649628237,664.4376578062621
36,8,-0.308142887799614,695.9804257924771
37,8,-0.4320221649628237,664.4376578062621
38,8,-2.3524634736473184,876.7220835463171
39,7,0.08008055067524109,821.500125407438
40,8,5.899757853164383,896.4250876800663
41,7,0.08008055067524109,821.500125407438
42,8,5.899757853164383,896.4250876800663
43,8,-0.38162921585029663,289.813903676538
44,12,-0.6136877860787074,225.47850353315008
45,7,2.6849156125168885,230.54248959169428
46,7,3.4378671916120482,369.5788299011474
47,12,0.5295703774600591,407.7936095079647
48,7,3.747888730971431,240.06238022648904
49,7,2.5686073149656297,245.34516647188616
50,12,1.064202288268552,866.2700420871844
51,8,-1.652973023813778,873.7690036973182
52,7,3.4589396547872973,777.55272675804
53,8,-0.4320221649628237,664.4376578062621
54,8,-0.308142887799614,695.9804257924771
55,12,0.6747146413077987,365.626812778064
56,12,3.025833668612793,396.40036190048465
57,8,-0.38162921585029663,289.813903676538
58,12,3.025833668612793,396.40036190048465
59,12,0.6747146413077987,365.626812778064
60,8,-0.38162921585029663,289.813903676538
61,12,-2.02352485980968,219.26774883600552
62,12,1.599666584477648,1287.6314651805826
63,12,-6.534881288787793,1209.072628293657
64,12,-5.702769106377008,1135.683301238106
65,12,2.2899328743799905,1050.0444728951954
66,8,4.542230226068585,950.6484857073874
67,8,3.5498860899042755,848.6077632211278
68,8,-0.308142887799614,695.9804257924771
69,8,-0.4320221649628237,664.4376578062621
70,8,-1.4599508277599813,836.3355397075106
