,dist
1,118.70291789407702
2,104.16967402979807
3,155.73299403814647
4,100.29961288866515
5,103.97085299087499
6,569.3210164334769
7,121.56642242279376
8,118.70291789407702
9,118.70291789407702
10,121.56642242279376
11,121.56642242279376
12,118.70291789407702
13,118.70291789407702
14,104.16967402979807
15,155.73299403814647
16,100.29961288866515
17,103.97085299087499
18,125.38597200373945
19,351.73413430394913
20,202.6559755952281
21,191.0408462553264
22,930.0752923214282
23,118.70291789407702
24,118.70291789407702
25,373.44046082043036
26,114.32042903109199
27,115.39738106018439
28,116.93028418276567
29,108.82501754857212
30,108.82501754857212
31,158.84163803998499
32,158.84163803998499
33,176.08290079200557
34,108.82501754857212
35,158.84163803998499
36,158.84163803998499
37,158.84163803998499
38,1050.9972139977272
39,100.5201169473343
40,100.5201169473343
41,100.5201169473343
42,100.5201169473343
43,101.65142049615557
44,102.54568564518478
45,102.10561090251393
46,106.23561654276685
47,106.23561654276685
48,1071.022913118126
49,158.84163803998499
50,114.0402961919266
51,108.82501754857212
52,176.08290079200557
53,101.53799512456573
54,101.53799512456573
55,101.53799512456573
56,104.45940285317516
57,106.29775810329197
58,101.7914419017911
59,103.56397078345778
60,100.6665662251319
61,107.29257031338972
62,100.44189387122071
63,106.89442787684403
64,101.56094612485566
65,101.56094612485566
66,101.56094612485566
67,104.08854008858783
68,102.27347413241269
69,101.0528807660338
70,101.95096163243477
71,103.40965890841416
72,102.28874902829908
73,106.05371490163147
74,104.67903217828406
75,103.33074426866682
76,161.46941437239988
77,101.7459461381779
78,100.8168989362206
79,100.1547921968615
80,102.50892492310508
81,106.3013830786892
82,102.96763094401071
83,102.62103098290412
84,129.19448509042377
85,100.6665662251319
86,103.56397078345778
87,101.7914419017911
88,106.29775810329197
89,104.45940285317516
90,101.53799512456573
91,176.08290079200557
92,108.82501754857212
93,108.82501754857212
94,108.82501754857212
95,176.08290079200557
96,176.08290079200557
97,108.82501754857212
98,108.82501754857212
99,108.82501754857212
100,176.08290079200557
101,176.08290079200557
102,176.08290079200557
103,176.08290079200557
104,108.82501754857212
105,108.82501754857212
106,108.82501754857212
107,108.82501754857212
108,158.84163803998499
109,101.75651427695361
110,104.1466905645982
111,105.15594632335676
112,619.870675243922
113,619.870675243922
114,105.15594632335676
115,104.1466905645982
116,101.75651427695361
117,158.84163803998499
118,158.84163803998499
119,158.84163803998499
120,158.84163803998499
121,158.84163803998499
122,158.84163803998499
123,158.84163803998499
124,158.84163803998499
125,101.75651427695361
126,104.1466905645982
127,105.15594632335676
128,619.870675243922
129,619.870675243922
130,105.15594632335676
131,104.1466905645982
132,101.75651427695361
133,158.84163803998499
134,158.84163803998499
135,1071.022913118126
136,106.23561654276685
137,108.82501754857212
138,108.82501754857212
139,108.82501754857212
140,108.82501754857212
141,108.82501754857212
142,108.82501754857212
143,176.08290079200557
144,101.53799512456573
145,101.53799512456573
146,101.53799512456573
147,104.45940285317516
148,106.29775810329197
149,101.7914419017911
150,103.56397078345778
151,100.6665662251319
152,129.19448509042377
153,102.62103098290412
154,102.78637609680145
155,106.51356053473809
156,105.37334366694755
157,117.41114465366735
158,102.27347413241269
159,102.27347413241269
160,101.0528807660338
161,101.95096163243477
162,103.40965890841416
163,102.28874902829908
164,106.05371490163147
165,104.67903217828406
166,103.33074426866682
167,161.46941437239988
168,101.7459461381779
169,100.8168989362206
170,100.1547921968615
171,102.50892492310508
172,106.3013830786892
173,102.96763094401071
174,102.62103098290412
175,129.19448509042377
176,100.6665662251319
177,103.56397078345778
178,101.7914419017911
179,106.29775810329197
180,104.45940285317516
181,101.53799512456573
182,176.08290079200557
183,176.08290079200557
184,176.08290079200557
185,106.23561654276685
186,1071.022913118126
187,158.84163803998499
188,176.08290079200557
189,176.08290079200557
190,176.08290079200557
191,176.08290079200557
192,158.84163803998499
193,103.83447763653605
194,104.60000531132212
195,105.22217425786334
196,103.84791486695543
197,104.0377574623281
198,100.91463895565401
