0,9
0,57,59,62,66,69,0
129,57,0
0,57,129,57,0
0,57,59,62,66,69,235
243,244,248,250,0
0,57,0
0,62,335,66,341
354,597,354
354,129,354
0,354
597,354,129,354,129,4119,4311,4119,4311,4119,4616,4710,4775,4872,4775,129,354
6524,597,354
354,0,9926,0,9926,9988,10004,10026,10115,10140,10155,10168,10181,10194,10181,10194,10219,10234,10249,10264,10279,10293,10307,10321,10335,10342,10394,10446,10470,10490,10508,10525,10545,10140,10115,10026,10004,9988,9926,0,354
597,354,597,354,0,354
354,597,354
597,354,0,354,0,354,597,354,597,354,129,14986,15005,335,15074,335,15005,14986,129,354,129,354,129,354
354,129,354,129,14986,15005,335,15074,335,15005,14986,129,354,129,4775,4872
597,354,597,354
354,597,354
354,597
354,0,9926,0,9926,9988,10004,10026,10115,10140,10545,10525,23441,23455,23469,10234,10219,10234,10249,10264,10279,10293,10307,10321,10335,10342,10394,10446,10470,10490,10508,10525,10545,10140,10115,10026,10004,9988,9926,0,354
354,0,354
4872,4775,129,354,0,354,0,354
354,129,26473,26495,26512,26533,26551,26656,250,26753,26824,26874,26887,26905
597,0,57,129,26473,26495,26512,26533,26551,26656,250,26753,26824,26874,26887,26905,26887,26874,26824,26753,250,26656,26551,26533,26512,26495,26473,129,57,0,597,354,129,354
354,129,354,129,354,129,354,0,354
4872,4775,129,354
6524,597,354
34760,4119,34760,4119,129,59,62,335,62,335,62,59,57,59,129
354,129,59
597,354,597,354,597,0,597,354,129,0,597
597,354,597,354,597,354,129,26473,26495,26512,26533,26551,26656,250,26753,26824,26874,26887,26905,26887,26874,26824,26753,250,26656,26551,26533,26512,26495,26473,129,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,354,597,0,9926,52270,9926,0,57,54052,54810,54993,55035,341,335,66,335,62,59,57,0,597,354,597,354,597
354,597,354,0
597,354,0,354,129,26473,26495,26512,26533,26551,26656,250,26753,26824,26874,26887,26905,26887,26874,26824,26753,250,26656,26551,26533,26512,26495,26473,129,354,597,354
354,597
243,59234,59246,244,59295,248,250,26656,26551,26533,26512,26495,26473,129,354,597,354
354,0,9926,0,9926,9988,10004,10026,10115,10140,10155,10168,10181,10194,10181,10194,10219,10234,10249,10264,10279,10293,10307,10321,10335,10342,10394,10446,10470,10490,10508,10525,10545,10140,10115,10026,10004,9988,9926,0,354
354,597,354,62810,597,354,0,354,597,354,129,26473,26495,26512,26533,26551,26656,250,26753,26824,26874,26887,26905,26887,26874,26824,26753,250,26656,26551,26533,26512,26495,26473,129,57,0,597
354,0
26905,26887,26874,26824,26753,250,26656,26551,26533,26512,26495,26473,129,354
354,129,354
354,129,26473,26495,26512,26533,26551,26656,250,26753,26824,26874,26887,26905
597,354
354,597,354,129,14986,15005,335,74511,74889,74511,74889,76635,341,335,66,335,62,59,129,354,597
354,129,354
597,354,129,59,62,59,129,354,0,597
354,129,26473,26495,26512,26533,26551,26656,250,248,83651,248,244,59246,59234,243
15005,14986,26473,354
354,0,9926,0,9926,9988,10004,10026,10115,10140,10155,10168,10181,10194,10181,10194,10219,10234,10249,10264,10279,10293,10307,10321,10335,10342,10394,10446,10470,10490,10508,10525,10545,10140,10115,10026,10004,9988,9926,0,354
354,597,354
354,597
354,597,354,0,57,129,354,129,354
354,597,354,597,354
354,90249,62810,90249,90307,62810,90419,90453,90513,90538,90559,90592
354,129,354
354,57
354,597,354,597,354
597,354
597,354,129,26473,26495,26512,94364,26512,26495,26473,129,354
354,597
354,129,4119,34760
354,597
54993,54810,54052,54810,54993,55035,103911,69,235,103974,103987,62
354,597
354,129,354
354,597,0,57,129,354,597,354,0,57,59,62,66,69,235,69,235,69,66,62,59,57,0,354,597,354
90592,90559,90538,90513,90538,109655,109684,109705,62810,597,354,129,354
354,597,354
354,597,354,597,354
354,129,59,129,354,597,6524,113499,113544,113573,113595,113614,113657,113614,113595,113573,113544,113499,52270,9926,0,354
354,597,354,597,354,597
597,0,57,59,62,335,66,341,54993,335,15005,14986,129,354,129,354,0,597,354,597,354,597,354,597,354,597,354,597
354,6524,354,597,354,597
26905,26887,26874,26824,26753,250,26656,26551,26533,26512,26495,26473,129,354
354,597
354,597,354
354,57,59,57,354,597,354
354,597,354,0
597,354
0,354,26473,26495,125130,74511,15005,74511,125130,74511,125130,74511,125130,26495,26473,354,0,354,0,354,597,354,597,354,0,354,0
354,0,9926,0,9926,9988,10004,10026,10115,10140,10155,10168,10181,10194,10181,10194,10219,10234,10249,10264,10279,10293,10307,10321,10335,10321,10307,10293,10279,10293,131215,131231,131244,10508,10525,10545,10140,10115,10026,10004,9988,9926,0,354,129,4775,4872
354,129,354
354,597
354,129,354,129,134957,15074,335,15005,14986,129,354,129,354,129,354,129,14986,15005,335,15005
354,597,6524,597,354,597,354
354,597,354
597,354
0,9926,0,354
354,597,354
354,90249,354
354,0,57,144728,57,0,354
